uniprot_id1,uniprot_id2
P17301,P05556
P06756,P08648
P17301,P05106
P77173,P0A9A6
P25942,P29965
P06756,P26012
P78545,Q9ULK4
P15692,P17948
P42229,P42229
P01375,P01375
P32455,P11309
P37231,Q15596
P15659,P03430
P01375,P19438
P37231,Q15788
P40337,Q16665
Q07820,P55957
Q8NBP7,P01130
P46937,P28347
P04271,P04637
P02766,P02766
P60568,P01589
P40763,P40763
P61024,Q13309
Q92843,Q07812
P25054,Q9NR80
Q07820,O43521
Q06609,P51587
O60885-2,P62805
Q9H8M2,P62805
P25440-2,P62805
P07355,P60903
Q58F21,P62805
Q15116,Q9NZQ7
Q13490,P55211
Q07817,Q16611
Q07817,O43521
P35222,P15923
Q03405,P00749
Q6W2J9,P41182
Q16548,Q07812
O60240,Q8WTS1
P14174,P04233
Q9Z2X8,Q60795
P06756,P05106
P43694,P52952
P04637,Q00987
O00255,Q03164
P05362,P20701
P98170,Q9NR28
P20701,P05362
P08514,P05106
P13612,P05556
Q00987,P04637
P08648,P05556
P13612,P26010
P98170,P55211
P0DMV8,Q99933
P06756,P18564
Q07820,Q07812
O60885,P62805
P01730,P04578
Q01196,Q13951
P63000,Q13009
P62942,na
O60885,Q86Y26
Q92793,P62805
Q14145,Q16236
P06756,P05556
Q14397,Q14397
P35222,P15884
P06756,P18084
O15151,P04637
O14786,P15692
Q07817,Q07812
P04637,O15151
P33681,P10747
Q14974,O95149
Q03164,O00255
O35235,O35305
P62166,Q9NPQ8
P25054,Q9NQB0
P26006,P05106
O14980,P04618
P19256,P06729
P01112,Q07889
Q05397,P35916
Q15059-2,P62805
P03433,P03431
P20918,P35456
P37231,Q9Y618
P00441,P00441
P61088,Q13404
P33681,P16410
O43318,Q15750
Q15059,P62805
P35222,P36402
P19438,P01374
P25440,Q07912
P06790,P06789
Q00975,Q02410
P27540,Q99814
P06789,P06790
P63096,O14924
P25440,P62805
Q86U86-5,P62805
P10415,Q16611
Q13671,P00519
P00749,Q03405
P56273,P04637
Q16665,Q09472
P10415,Q07812
Q96GG9,P61081
Q9UIF8,P62805
O75475,C5J4T0
P01116,Q07889
P61964,Q03164
P12497,O75475
Q03164,P61964
P20701,P05107
P56199,P05556
P37231,Q9Y6Q9
P01106,P61244
Q07817,P55957
Q07817,Q9BXH1
Q8WTS1,Q00G26
